X1,Y1,X2,Y2,Confidence,Class
117,157,208,210,0.26,Dummy
217,614,519,704,0.86,Car
117,158,208,209,0.27,Dummy
630,203,702,269,0.27,Dummy
218,614,520,704,0.85,Car
219,614,518,704,0.85,Car
0,173,44,229,0.26,Dummy
216,614,518,704,0.84,Car
0,175,44,229,0.3,Dummy
220,613,519,704,0.86,Car
117,157,208,209,0.29,Dummy
0,174,44,230,0.29,Dummy
217,614,519,703,0.85,Car
287,620,512,704,0.6,Car
631,203,702,268,0.28,Dummy
0,174,44,230,0.26,Dummy
217,615,518,704,0.86,Car
0,175,44,229,0.29,Dummy
216,614,519,704,0.85,Car
0,175,44,229,0.28,Dummy
631,203,702,269,0.27,Dummy
217,614,518,704,0.84,Car
0,175,44,230,0.26,Dummy
217,614,519,703,0.86,Car
218,613,519,704,0.86,Car
0,175,44,229,0.29,Dummy
219,614,519,704,0.85,Car
0,175,44,230,0.33,Dummy
218,614,518,704,0.85,Car
0,176,43,230,0.3,Dummy
218,613,518,704,0.87,Car
0,175,44,230,0.29,Dummy
216,614,519,704,0.85,Car
294,620,512,704,0.54,Car
0,173,43,230,0.26,Dummy
219,614,519,704,0.85,Car
0,175,44,230,0.29,Dummy
216,612,520,704,0.85,Car
117,158,208,209,0.26,Dummy
217,614,519,704,0.85,Car
219,614,519,704,0.86,Car
0,173,44,230,0.3,Dummy
217,614,519,704,0.86,Car
219,613,518,704,0.85,Car
218,613,518,704,0.85,Car
219,613,518,704,0.86,Car
0,175,43,230,0.3,Dummy
219,614,518,704,0.87,Car
0,173,43,230,0.28,Dummy
217,614,519,703,0.86,Car
217,613,518,704,0.85,Car
0,173,43,229,0.27,Dummy
218,612,519,704,0.86,Car
219,613,519,704,0.86,Car
630,203,702,268,0.26,Dummy
217,612,518,704,0.86,Car
0,175,43,230,0.35,Dummy
631,203,702,268,0.28,Dummy
217,614,518,704,0.85,Car
0,174,43,230,0.27,Dummy
218,614,519,704,0.85,Car
0,175,44,230,0.27,Dummy
217,614,519,704,0.85,Car
0,175,44,230,0.28,Dummy
630,202,703,269,0.26,Dummy
217,613,519,704,0.83,Car
219,613,519,704,0.87,Car
217,614,519,704,0.87,Car
630,202,703,268,0.29,Dummy
217,613,519,704,0.86,Car
218,614,519,704,0.86,Car
218,614,519,703,0.86,Car
0,175,43,230,0.29,Dummy
217,614,518,704,0.84,Car
290,619,512,704,0.55,Car
0,175,44,230,0.26,Dummy
217,612,519,704,0.86,Car
285,620,512,704,0.58,Car
0,175,44,230,0.29,Dummy
630,202,702,267,0.26,Dummy
218,614,519,704,0.85,Car
217,613,519,704,0.86,Car
630,203,703,268,0.34,Dummy
0,175,44,229,0.27,Dummy
219,613,519,704,0.86,Car
217,613,519,704,0.85,Car
0,175,44,230,0.26,Dummy
217,614,519,704,0.86,Car
630,202,702,268,0.3,Dummy
0,175,44,230,0.28,Dummy
218,613,519,704,0.86,Car
0,175,44,229,0.26,Dummy
217,613,519,704,0.87,Car
0,175,44,230,0.26,Dummy
216,613,518,704,0.85,Car
281,621,512,704,0.54,Car
0,175,44,230,0.28,Dummy
217,613,519,704,0.84,Car
217,612,518,704,0.86,Car
295,618,512,704,0.61,Car
0,175,43,229,0.27,Dummy
217,613,519,704,0.87,Car
0,175,43,229,0.33,Dummy
217,614,519,704,0.86,Car
217,613,518,704,0.87,Car
219,613,519,704,0.86,Car
216,614,519,704,0.86,Car
289,619,512,704,0.52,Car
630,202,703,269,0.33,Dummy
0,175,44,229,0.26,Dummy
217,614,518,704,0.85,Car
218,613,518,704,0.86,Car
0,174,43,230,0.3,Dummy
229,611,526,704,0.86,Car
216,613,519,704,0.86,Car
216,613,519,704,0.86,Car
0,175,44,230,0.28,Dummy
218,614,519,703,0.87,Car
295,619,512,704,0.58,Car
0,173,44,230,0.27,Dummy
231,611,532,704,0.83,Car
0,175,44,230,0.26,Dummy
217,614,519,704,0.85,Car
290,620,512,704,0.59,Car
118,157,208,210,0.29,Dummy
0,175,44,229,0.28,Dummy
217,613,519,704,0.82,Car
281,621,509,703,0.3,Car
217,613,519,704,0.86,Car
0,175,44,229,0.27,Dummy
220,612,519,704,0.85,Car
0,174,43,230,0.26,Dummy
231,612,527,703,0.87,Car
0,175,43,230,0.32,Dummy
219,613,519,704,0.84,Car
630,202,703,269,0.3,Dummy
0,173,44,230,0.27,Dummy
218,614,519,704,0.86,Car
0,175,44,230,0.27,Dummy
218,613,518,704,0.85,Car
273,624,509,703,0.32,Car
0,175,44,230,0.26,Dummy
220,613,518,704,0.85,Car
218,614,519,704,0.86,Car
630,203,702,268,0.27,Dummy
0,175,44,229,0.27,Dummy
217,614,519,704,0.85,Car
0,175,44,229,0.28,Dummy
630,203,702,269,0.27,Dummy
217,614,519,704,0.85,Car
0,175,43,230,0.33,Dummy
217,613,519,704,0.86,Car
285,619,512,704,0.54,Car
0,175,44,230,0.27,Dummy
217,614,518,703,0.84,Car
0,176,44,230,0.3,Dummy
218,613,518,704,0.84,Car
0,175,43,230,0.31,Dummy
216,614,519,704,0.84,Car
280,621,512,704,0.49,Car
0,175,44,230,0.3,Dummy
216,614,519,704,0.85,Car
0,174,43,230,0.3,Dummy
630,203,702,269,0.27,Dummy
217,613,520,704,0.86,Car
286,619,512,704,0.54,Car
630,203,701,268,0.31,Dummy
0,175,44,230,0.3,Dummy
219,613,518,704,0.84,Car
630,203,702,267,0.3,Dummy
219,614,519,703,0.84,Car
0,175,44,230,0.26,Dummy
217,613,519,704,0.85,Car
0,174,44,229,0.32,Dummy
